Timestamp,温度,压力,湿度,面密度
2026-06-05 09:26:31,33.93,19.15,36.64,78.87
2026-06-05 09:27:31,66.5,80.4,53.38,3.85
2026-06-05 09:28:31,30.28,44.89,25.77,97.33
2026-06-05 09:29:31,73.03,9.6,27.26,52.11
2026-06-05 09:30:31,30.04,57.36,80.67,55.1
2026-06-05 09:31:31,86.48,30.7,41.57,50.67
2026-06-05 09:32:31,46.24,84.6,81.46,65.24
2026-06-05 09:33:31,27.32,40.58,57.14,23.77
2026-06-05 09:34:31,18.78,21.95,17.22,85.66
2026-06-05 09:35:31,12.84,62.48,17.63,95.24
2026-06-05 09:36:31,92.09,94.98,58.89,84.79
2026-06-05 09:37:31,62.97,99.52,64.54,54.01
2026-06-05 09:38:31,1.78,34.55,70.78,79.71
2026-06-05 09:39:31,15.91,93.77,89.0,68.5
2026-06-05 09:40:31,62.92,30.85,29.67,18.98
2026-06-05 09:41:31,65.73,52.78,26.22,65.97
2026-06-05 09:42:31,36.94,13.4,67.05,35.32
2026-06-05 09:43:31,60.26,25.35,27.78,13.09
2026-06-05 09:44:31,79.74,14.48,4.24,49.49
2026-06-05 09:45:31,7.66,32.65,66.39,32.05
2026-06-05 09:46:31,21.76,58.9,36.01,98.34
2026-06-05 09:47:31,25.42,65.31,12.02,4.69
2026-06-05 09:48:31,80.25,35.38,56.08,12.85
2026-06-05 09:49:31,61.53,12.67,85.44,29.75
2026-06-05 09:50:31,47.12,69.13,6.81,70.41
2026-06-05 09:51:31,35.64,42.07,65.18,35.71
2026-06-05 09:52:31,1.0,18.36,32.3,19.83
2026-06-05 09:53:31,48.1,4.0,83.98,74.04
2026-06-05 09:54:31,12.73,81.02,41.83,35.81
2026-06-05 09:55:31,77.08,96.84,96.43,86.54
2026-06-05 09:56:31,31.18,69.2,96.8,41.11
2026-06-05 09:57:31,98.12,43.74,74.66,70.1
2026-06-05 09:58:31,0.79,47.64,88.43,80.05
2026-06-05 09:59:31,7.11,71.12,97.32,28.58
2026-06-05 10:00:31,87.73,44.73,36.92,23.0
2026-06-05 10:01:31,62.92,20.46,77.43,97.94
2026-06-05 10:02:31,22.65,15.26,57.24,40.43
2026-06-05 10:03:31,74.18,28.06,6.57,63.74
2026-06-05 10:04:31,78.51,5.43,92.15,90.22
2026-06-05 10:05:31,84.02,71.37,47.27,98.12
2026-06-05 10:06:31,22.18,94.74,59.5,26.52
2026-06-05 10:07:31,16.24,18.35,57.31,53.76
2026-06-05 10:08:31,2.05,47.06,5.47,38.1
2026-06-05 10:09:31,38.1,4.09,73.47,94.48
2026-06-05 10:10:31,80.29,82.19,13.94,14.75
2026-06-05 10:11:31,8.22,34.68,83.63,27.57
2026-06-05 10:12:31,34.36,19.86,70.84,19.44
2026-06-05 10:13:31,40.53,33.33,93.85,16.76
2026-06-05 10:14:31,7.75,19.31,55.35,42.5
2026-06-05 10:15:31,14.19,54.73,70.73,19.1
2026-06-05 10:16:31,62.06,64.89,15.32,81.84
2026-06-05 10:17:31,54.74,14.45,32.71,19.06
2026-06-05 10:18:31,74.65,1.97,35.14,48.88
2026-06-05 10:19:31,26.2,2.93,96.64,68.01
2026-06-05 10:20:31,6.29,94.6,29.9,28.36
2026-06-05 10:21:31,38.97,77.97,27.33,94.29
